id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable
846121214346059366,la Nova Esquerra de l'Eixample,Eixample,41.3844414985042,2.1547305471372904,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,1,365,12,42,72,346,255,96,2.9,4.69,4.78,4.57,0,1
846128345212277338,l'Antiga Esquerra de l'Eixample,Eixample,41.38629,2.15484,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,1,365,19,49,79,353,120,40,1.2,4.58,4.69,4.33,0,1
846131299901940313,l'Antiga Esquerra de l'Eixample,Eixample,41.38641628632934,2.156275324982018,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,1,365,22,52,82,356,90,49,1.5,4.43,4.59,4.27,0,1
846184430918401507,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38349,2.182,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1125,24,51,76,328,255,150,4.7,4.39,4.84,4.13,0,1
846198588008748382,Porta,Nou Barris,41.4381253,2.1751468,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,31,122,0,12,42,222,0,0,0.0,4.76,4.57,4.78,0,0
846199567435612629,Hostafrancs,Sants-Montjuïc,41.37596,2.14534,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,1,365,14,30,54,273,255,221,6.69,4.79,4.86,4.6,1,1
846230032385844092,l'Antiga Esquerra de l'Eixample,Eixample,41.3925578,2.1557107,Entire rental unit,Entire home/apt,3,1.5,2.0,2.0,31,1125,0,0,0,167,0,2,0.06,5.0,5.0,4.5,0,1
846250382085639382,Sant Antoni,Eixample,41.38086,2.15719,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,32,96,27,57,87,87,0,0,0.0,4.71,4.83,4.56,0,0
846312137583081003,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,41.4012958,2.1415623,Private room in rental unit,Private room,2,1.0,1.0,1.0,30,333,0,0,0,192,60,6,0.21,5.0,5.0,4.67,0,0
846345174569649397,la Vila de Gràcia,Gràcia,41.4031233,2.150751,Entire rental unit,Entire home/apt,8,2.0,5.0,7.0,3,180,1,17,47,312,120,64,2.09,4.64,4.84,4.53,0,0
846439358945384935,el Putxet i el Farró,Sarrià-Sant Gervasi,41.40598529896336,2.142155377652172,Entire rental unit,Entire home/apt,3,2.5,2.0,3.0,7,720,20,20,20,20,0,0,0.0,4.705,4.745,4.5,0,0
846469130159519163,la Dreta de l'Eixample,Eixample,41.39007828025619,2.1654926714925584,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,7,720,21,21,21,21,0,0,0.0,4.75,4.94,4.63,0,0
846733523693065296,Can Baró,Horta-Guinardó,41.41387,2.16159,Other,Private room,2,1.0,1.0,1.0,3,1125,13,43,65,289,234,108,3.53,4.86,4.78,4.79,1,0
846955622593972871,la Dreta de l'Eixample,Eixample,41.3967532,2.1770715,Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,1,365,28,29,29,153,6,1,0.22,4.0,5.0,4.0,0,1
846994162597159540,el Fort Pienc,Eixample,41.39684977857714,2.177500653442377,Entire rental unit,Entire home/apt,6,1.0,4.0,6.0,1,365,18,18,18,113,6,2,0.07,5.0,5.0,5.0,0,1
847022020801794310,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38427,2.1834,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,60,365,11,41,71,346,120,1,0.14,4.0,5.0,2.0,0,1
847022433196784936,l'Antiga Esquerra de l'Eixample,Eixample,41.390249765631744,2.158177794824893,Entire rental unit,Entire home/apt,2,1.0,1.0,3.0,60,365,0,1,1,245,120,4,0.17,4.75,5.0,4.5,0,1
847579072395779970,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.403817983987686,2.166069217700885,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,32,365,28,58,88,363,0,0,0.0,4.75,4.87,4.59,0,0
847582655112925959,l'Antiga Esquerra de l'Eixample,Eixample,41.38602913960524,2.1564773054127446,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,1,365,27,57,87,361,192,73,2.24,4.62,4.71,4.21,0,1
